# i       xs       ys     ths  m1  m2      nxs      nys     coef       ns
143  -64.108   87.533    2.87   2   1     0.68    -0.73    0.020    83.11
144  -62.971   88.744    2.89   2   1     0.77    -0.64    0.020    83.11
145  -61.995   90.087    2.91   2   1     0.84    -0.54    0.020    83.11
146  -61.194   91.543    2.93   2   1     0.90    -0.43    0.020    83.11
147  -60.583   93.088    2.95   2   1     0.95    -0.31    0.020    83.11
148  -60.170   94.697    2.97   2   1     0.98    -0.19    0.020    83.11
149  -59.961   96.345    2.99   2   1     1.00    -0.06    0.020    83.11
150   -2.057  146.594    3.01   2   1     1.00     0.06    0.020    83.11
151   -2.265  148.242    3.03   2   1     0.98     0.19    0.020    83.11
152   -2.678  149.851    3.05   2   1     0.95     0.31    0.020    83.11
153   -3.290  151.395    3.07   2   1     0.90     0.43    0.020    83.11
154   -4.090  152.851    3.09   2   1     0.84     0.54    0.020    83.11
155   -5.066  154.195    3.11   2   1     0.77     0.64    0.020    83.11
156   -6.204  155.406    3.13   2   1     0.68     0.73    0.020    83.11
157   -7.484  156.465    3.15   2   1     0.59     0.81    0.020    83.11
158   -8.886  157.355    3.17   2   1     0.48     0.88    0.020    83.11
159  -10.389  158.062    3.19   2   1     0.37     0.93    0.020    83.11
160  -11.969  158.576    3.21   2   1     0.25     0.97    0.020    83.11
161  -13.601  158.887    3.23   2   1     0.13     0.99    0.020    83.11
162  -15.259  158.991    3.25   2   1     0.00     1.00    0.020    83.11
163  -16.917  158.887    3.27   2   1    -0.13     0.99    0.020    83.11
164  -18.549  158.576    3.29   2   1    -0.25     0.97    0.020    83.11
165  -20.128  158.062    3.31   2   1    -0.37     0.93    0.020    83.11
166  -21.632  157.355    3.33   2   1    -0.48     0.88    0.020    83.11
167  -23.034  156.465    3.35   2   1    -0.59     0.81    0.020    83.11
168  -24.314  155.406    3.37   2   1    -0.68     0.73    0.020    83.11
169  -25.451  154.195    3.39   2   1    -0.77     0.64    0.020    83.11
170  -26.428  152.851    3.41   2   1    -0.84     0.54    0.020    83.11
171  -27.228  151.395    3.43   2   1    -0.90     0.43    0.020    83.11
172  -27.840  149.851    3.45   2   1    -0.95     0.31    0.020    83.11
173  -28.253  148.242    3.47   2   1    -0.98     0.19    0.020    83.11
174  -28.461  146.594    3.49   2   1    -1.00     0.06    0.020    83.11
175  -28.461  144.933    3.51   2   1    -1.00    -0.06    0.020    83.11
176  -28.253  143.284    3.53   2   1    -0.98    -0.19    0.020    83.11
177  -27.840  141.675    3.55   2   1    -0.95    -0.31    0.020    83.11
178  -27.228  140.131    3.57   2   1    -0.90    -0.43    0.020    83.11
179  -26.428  138.675    3.59   2   1    -0.84    -0.54    0.020    83.11
180  -25.451  137.331    3.61   2   1    -0.77    -0.64    0.020    83.11
181  -24.314  136.120    3.63   2   1    -0.68    -0.73    0.020    83.11
182  -23.034  135.061    3.65   2   1    -0.59    -0.81    0.020    83.11
183  -21.632  134.171    3.67   2   1    -0.48    -0.88    0.020    83.11
184  -20.128  133.464    3.69   2   1    -0.37    -0.93    0.020    83.11
185  -18.549  132.951    3.71   2   1    -0.25    -0.97    0.020    83.11
186  -16.917  132.639    3.73   2   1    -0.13    -0.99    0.020    83.11
187  -15.259  132.535    3.75   2   1    -0.00    -1.00    0.020    83.11
188  -13.601  132.639    3.77   2   1     0.13    -0.99    0.020    83.11
189  -11.969  132.951    3.79   2   1     0.25    -0.97    0.020    83.11
190  -10.389  133.464    3.81   2   1     0.37    -0.93    0.020    83.11
191   -8.886  134.171    3.83   2   1     0.48    -0.88    0.020    83.11
192   -7.484  135.061    3.85   2   1     0.59    -0.81    0.020    83.11
193   -6.204  136.120    3.87   2   1     0.68    -0.73    0.020    83.11
194   -5.066  137.331    3.89   2   1     0.77    -0.64    0.020    83.11
195   -4.090  138.675    3.91   2   1     0.84    -0.54    0.020    83.11
196   -3.290  140.131    3.93   2   1     0.90    -0.43    0.020    83.11
197   -2.678  141.675    3.95   2   1     0.95    -0.31    0.020    83.11
198   -2.265  143.284    3.97   2   1     0.98    -0.19    0.020    83.11
199   -2.057  144.933    3.99   2   1     1.00    -0.06    0.020    83.11
200 -128.527    0.831    4.01   2   1     1.00     0.06    0.020    83.11
201 -128.736    2.479    4.03   2   1     0.98     0.19    0.020    83.11
202 -129.149    4.088    4.05   2   1     0.95     0.31    0.020    83.11
203 -129.760    5.632    4.07   2   1     0.90     0.43    0.020    83.11
204 -130.561    7.088    4.09   2   1     0.84     0.54    0.020    83.11
205 -131.537    8.432    4.11   2   1     0.77     0.64    0.020    83.11
206 -132.674    9.643    4.13   2   1     0.68     0.73    0.020    83.11
207 -133.954   10.702    4.15   2   1     0.59     0.81    0.020    83.11
208 -135.357   11.592    4.17   2   1     0.48     0.88    0.020    83.11
209 -136.860   12.299    4.19   2   1     0.37     0.93    0.020    83.11
210 -138.440   12.812    4.21   2   1     0.25     0.97    0.020    83.11
211 -140.072   13.124    4.23   2   1     0.13     0.99    0.020    83.11
212 -141.729   13.228    4.25   2   1     0.00     1.00    0.020    83.11
213 -143.387   13.124    4.27   2   1    -0.13     0.99    0.020    83.11
214 -145.019   12.812    4.29   2   1    -0.25     0.97    0.020    83.11
215 -146.599   12.299    4.31   2   1    -0.37     0.93    0.020    83.11
216 -148.102   11.592    4.33   2   1    -0.48     0.88    0.020    83.11
217 -149.505   10.702    4.35   2   1    -0.59     0.81    0.020    83.11
218 -150.785    9.643    4.37   2   1    -0.68     0.73    0.020    83.11
219 -151.922    8.432    4.39   2   1    -0.77     0.64    0.020    83.11
220 -152.898    7.088    4.41   2   1    -0.84     0.54    0.020    83.11
221 -153.699    5.632    4.43   2   1    -0.90     0.43    0.020    83.11
222 -154.310    4.088    4.45   2   1    -0.95     0.31    0.020    83.11
223 -154.723    2.479    4.47   2   1    -0.98     0.19    0.020    83.11
224 -154.931    0.831    4.49   2   1    -1.00     0.06    0.020    83.11
225 -154.931   -0.831    4.51   2   1    -1.00    -0.06    0.020    83.11
226 -154.723   -2.479    4.53   2   1    -0.98    -0.19    0.020    83.11
227 -154.310   -4.088    4.55   2   1    -0.95    -0.31    0.020    83.11
228 -153.699   -5.632    4.57   2   1    -0.90    -0.43    0.020    83.11
229 -152.898   -7.088    4.59   2   1    -0.84    -0.54    0.020    83.11
230 -151.922   -8.432    4.61   2   1    -0.77    -0.64    0.020    83.11
231 -150.785   -9.643    4.63   2   1    -0.68    -0.73    0.020    83.11
232 -149.505  -10.702    4.65   2   1    -0.59    -0.81    0.020    83.11
233 -148.102  -11.592    4.67   2   1    -0.48    -0.88    0.020    83.11
