# i       xs       ys     ths  m1  m2      nxs      nys     coef       ns
148   -2.750    9.040    0.30   2   1    -0.29     0.96    0.002    59.37
149   -2.863    9.004    0.30   2   1    -0.30     0.95    0.002    59.37
150   -2.976    8.968    0.30   2   1    -0.31     0.95    0.002    59.37
151   -3.089    8.930    0.30   2   1    -0.33     0.95    0.002    59.37
152   -3.201    8.890    0.30   2   1    -0.34     0.94    0.002    59.37
153   -3.312    8.849    0.31   2   1    -0.35     0.94    0.002    59.37
154   -3.423    8.807    0.31   2   1    -0.36     0.93    0.002    59.37
155   -3.533    8.763    0.31   2   1    -0.37     0.93    0.002    59.37
156   -3.643    8.718    0.31   2   1    -0.39     0.92    0.002    59.37
157   -3.753    8.672    0.32   2   1    -0.40     0.92    0.002    59.37
158   -3.861    8.624    0.32   2   1    -0.41     0.91    0.002    59.37
159   -3.969    8.574    0.32   2   1    -0.42     0.91    0.002    59.37
160   -4.077    8.524    0.32   2   1    -0.43     0.90    0.002    59.37
161   -4.183    8.472    0.32   2   1    -0.44     0.90    0.002    59.37
162   -4.290    8.419    0.33   2   1    -0.45     0.89    0.002    59.37
163   -4.395    8.364    0.33   2   1    -0.47     0.89    0.002    59.37
164   -4.500    8.308    0.33   2   1    -0.48     0.88    0.002    59.37
165   -4.604    8.251    0.33   2   1    -0.49     0.87    0.002    59.37
166   -4.707    8.193    0.33   2   1    -0.50     0.87    0.002    59.37
167   -4.810    8.133    0.34   2   1    -0.51     0.86    0.002    59.37
168   -4.912    8.072    0.34   2   1    -0.52     0.85    0.002    59.37
169   -5.013    8.009    0.34   2   1    -0.53     0.85    0.002    59.37
170   -5.113    7.946    0.34   2   1    -0.54     0.84    0.002    59.37
171   -5.212    7.881    0.34   2   1    -0.55     0.83    0.002    59.37
172   -5.311    7.815    0.34   2   1    -0.56     0.83    0.002    59.37
173   -5.409    7.747    0.35   2   1    -0.57     0.82    0.002    59.37
174   -5.506    7.679    0.35   2   1    -0.58     0.81    0.002    59.37
175   -5.602    7.609    0.35   2   1    -0.59     0.81    0.002    59.37
176   -5.697    7.538    0.35   2   1    -0.60     0.80    0.002    59.37
177   -5.791    7.466    0.35   2   1    -0.61     0.79    0.002    59.37
178   -5.884    7.393    0.36   2   1    -0.62     0.78    0.002    59.37
179   -5.977    7.318    0.36   2   1    -0.63     0.77    0.002    59.37
180   -6.068    7.242    0.36   2   1    -0.64     0.77    0.002    59.37
181   -6.159    7.165    0.36   2   1    -0.65     0.76    0.002    59.37
182   -6.248    7.088    0.36   2   1    -0.66     0.75    0.002    59.37
183   -6.337    7.008    0.37   2   1    -0.67     0.74    0.002    59.37
184   -6.425    6.928    0.37   2   1    -0.68     0.73    0.002    59.37
185   -6.511    6.847    0.37   2   1    -0.69     0.72    0.002    59.37
186   -6.597    6.765    0.37   2   1    -0.70     0.72    0.002    59.37
187   -6.681    6.681    0.38   2   1    -0.71     0.71    0.002    59.37
188   -6.765    6.597    0.38   2   1    -0.72     0.70    0.002    59.37
189   -6.847    6.511    0.38   2   1    -0.72     0.69    0.002    59.37
190   -6.928    6.425    0.38   2   1    -0.73     0.68    0.002    59.37
191   -7.008    6.337    0.38   2   1    -0.74     0.67    0.002    59.37
192   -7.088    6.248    0.39   2   1    -0.75     0.66    0.002    59.37
193   -7.165    6.159    0.39   2   1    -0.76     0.65    0.002    59.37
194   -7.242    6.068    0.39   2   1    -0.77     0.64    0.002    59.37
195   -7.318    5.977    0.39   2   1    -0.77     0.63    0.002    59.37
196   -7.393    5.884    0.39   2   1    -0.78     0.62    0.002    59.37
197   -7.466    5.791    0.40   2   1    -0.79     0.61    0.002    59.37
198   -7.538    5.697    0.40   2   1    -0.80     0.60    0.002    59.37
199   -7.609    5.602    0.40   2   1    -0.81     0.59    0.002    59.37
200   -7.679    5.506    0.40   2   1    -0.81     0.58    0.002    59.37
201   -7.747    5.409    0.40   2   1    -0.82     0.57    0.002    59.37
202   -7.815    5.311    0.41   2   1    -0.83     0.56    0.002    59.37
203   -7.881    5.212    0.41   2   1    -0.83     0.55    0.002    59.37
204   -7.946    5.113    0.41   2   1    -0.84     0.54    0.002    59.37
205   -8.009    5.013    0.41   2   1    -0.85     0.53    0.002    59.37
206   -8.072    4.912    0.41   2   1    -0.85     0.52    0.002    59.37
207   -8.133    4.810    0.41   2   1    -0.86     0.51    0.002    59.37
208   -8.193    4.707    0.42   2   1    -0.87     0.50    0.002    59.37
209   -8.251    4.604    0.42   2   1    -0.87     0.49    0.002    59.37
210   -8.308    4.500    0.42   2   1    -0.88     0.48    0.002    59.37
211   -8.364    4.395    0.42   2   1    -0.89     0.47    0.002    59.37
212   -8.419    4.290    0.42   2   1    -0.89     0.45    0.002    59.37
213   -8.472    4.183    0.43   2   1    -0.90     0.44    0.002    59.37
214   -8.524    4.077    0.43   2   1    -0.90     0.43    0.002    59.37
215   -8.574    3.969    0.43   2   1    -0.91     0.42    0.002    59.37
216   -8.624    3.861    0.43   2   1    -0.91     0.41    0.002    59.37
217   -8.672    3.753    0.43   2   1    -0.92     0.40    0.002    59.37
218   -8.718    3.643    0.44   2   1    -0.92     0.39    0.002    59.37
219   -8.763    3.533    0.44   2   1    -0.93     0.37    0.002    59.37
220   -8.807    3.423    0.44   2   1    -0.93     0.36    0.002    59.37
221   -8.849    3.312    0.44   2   1    -0.94     0.35    0.002    59.37
222   -8.890    3.201    0.45   2   1    -0.94     0.34    0.002    59.37
223   -8.930    3.089    0.45   2   1    -0.95     0.33    0.002    59.37
224   -8.968    2.976    0.45   2   1    -0.95     0.31    0.002    59.37
225   -9.004    2.863    0.45   2   1    -0.95     0.30    0.002    59.37
226   -9.040    2.750    0.45   2   1    -0.96     0.29    0.002    59.37
227   -9.073    2.636    0.46   2   1    -0.96     0.28    0.002    59.37
228   -9.106    2.522    0.46   2   1    -0.96     0.27    0.002    59.37
229   -9.137    2.407    0.46   2   1    -0.97     0.25    0.002    59.37
230   -9.166    2.292    0.46   2   1    -0.97     0.24    0.002    59.37
231   -9.194    2.177    0.46   2   1    -0.97     0.23    0.002    59.37
232   -9.221    2.061    0.47   2   1    -0.98     0.22    0.002    59.37
233   -9.246    1.945    0.47   2   1    -0.98     0.21    0.002    59.37
234   -9.270    1.829    0.47   2   1    -0.98     0.19    0.002    59.37
235   -9.292    1.712    0.47   2   1    -0.98     0.18    0.002    59.37
236   -9.313    1.595    0.47   2   1    -0.99     0.17    0.002    59.37
237   -9.332    1.478    0.47   2   1    -0.99     0.16    0.002    59.37
238   -9.350    1.361    0.48   2   1    -0.99     0.14    0.002    59.37
239   -9.366    1.243    0.48   2   1    -0.99     0.13    0.002    59.37
240   -9.381    1.125    0.48   2   1    -0.99     0.12    0.002    59.37
241   -9.395    1.007    0.48   2   1    -0.99     0.11    0.002    59.37
242   -9.407    0.889    0.48   2   1    -1.00     0.09    0.002    59.37
243   -9.417    0.771    0.49   2   1    -1.00     0.08    0.002    59.37
244   -9.426    0.653    0.49   2   1    -1.00     0.07    0.002    59.37
245   -9.434    0.534    0.49   2   1    -1.00     0.06    0.002    59.37
246   -9.439    0.415    0.49   2   1    -1.00     0.04    0.002    59.37
247   -9.444    0.297    0.49   2   1    -1.00     0.03    0.002    59.37
248   -9.447    0.178    0.50   2   1    -1.00     0.02    0.002    59.37
249   -9.448    0.059    0.50   2   1    -1.00     0.01    0.002    59.37
250   -9.448   -0.059    0.50   2   1    -1.00    -0.01    0.002    59.37
251   -9.447   -0.178    0.50   2   1    -1.00    -0.02    0.002    59.37
252   -9.444   -0.297    0.51   2   1    -1.00    -0.03    0.002    59.37
253   -9.439   -0.415    0.51   2   1    -1.00    -0.04    0.002    59.37
254   -9.434   -0.534    0.51   2   1    -1.00    -0.06    0.002    59.37
255   -9.426   -0.653    0.51   2   1    -1.00    -0.07    0.002    59.37
256   -9.417   -0.771    0.51   2   1    -1.00    -0.08    0.002    59.37
257   -9.407   -0.889    0.52   2   1    -1.00    -0.09    0.002    59.37
258   -9.395   -1.007    0.52   2   1    -0.99    -0.11    0.002    59.37
259   -9.381   -1.125    0.52   2   1    -0.99    -0.12    0.002    59.37
260   -9.366   -1.243    0.52   2   1    -0.99    -0.13    0.002    59.37
261   -9.350   -1.361    0.52   2   1    -0.99    -0.14    0.002    59.37
262   -9.332   -1.478    0.53   2   1    -0.99    -0.16    0.002    59.37
263   -9.313   -1.595    0.53   2   1    -0.99    -0.17    0.002    59.37
264   -9.292   -1.712    0.53   2   1    -0.98    -0.18    0.002    59.37
265   -9.270   -1.829    0.53   2   1    -0.98    -0.19    0.002    59.37
266   -9.246   -1.945    0.53   2   1    -0.98    -0.21    0.002    59.37
267   -9.221   -2.061    0.54   2   1    -0.98    -0.22    0.002    59.37
268   -9.194   -2.177    0.54   2   1    -0.97    -0.23    0.002    59.37
269   -9.166   -2.292    0.54   2   1    -0.97    -0.24    0.002    59.37
270   -9.137   -2.407    0.54   2   1    -0.97    -0.25    0.002    59.37
271   -9.106   -2.522    0.54   2   1    -0.96    -0.27    0.002    59.37
272   -9.073   -2.636    0.55   2   1    -0.96    -0.28    0.002    59.37
273   -9.040   -2.750    0.55   2   1    -0.96    -0.29    0.002    59.37
