# i       xs       ys     ths  m1  m2      nxs      nys     coef       ns
195   -5.854    2.391    0.39   2   1    -0.52     0.85    0.002    35.23
196   -5.914    2.354    0.39   2   1    -0.53     0.85    0.002    34.93
197   -5.973    2.316    0.40   2   1    -0.54     0.84    0.002    34.63
198   -6.030    2.279    0.40   2   1    -0.55     0.83    0.002    34.34
199   -6.087    2.241    0.40   2   1    -0.56     0.83    0.002    34.04
200   -6.143    2.202    0.40   2   1    -0.57     0.82    0.002    33.74
201   -6.198    2.163    0.40   2   1    -0.58     0.81    0.002    33.44
202   -6.252    2.124    0.41   2   1    -0.59     0.81    0.002    33.14
203   -6.305    2.085    0.41   2   1    -0.60     0.80    0.002    32.84
204   -6.357    2.045    0.41   2   1    -0.61     0.79    0.002    32.55
205   -6.408    2.005    0.41   2   1    -0.62     0.78    0.002    32.25
206   -6.457    1.965    0.41   2   1    -0.63     0.77    0.002    31.95
207   -6.506    1.924    0.41   2   1    -0.65     0.76    0.002    31.66
208   -6.554    1.883    0.42   2   1    -0.66     0.75    0.002    31.37
209   -6.601    1.842    0.42   2   1    -0.67     0.74    0.002    31.07
210   -6.647    1.800    0.42   2   1    -0.68     0.73    0.002    30.78
211   -6.691    1.758    0.42   2   1    -0.69     0.72    0.002    30.50
212   -6.735    1.716    0.42   2   1    -0.70     0.71    0.002    30.21
213   -6.778    1.673    0.43   2   1    -0.71     0.70    0.002    29.93
214   -6.819    1.631    0.43   2   1    -0.72     0.69    0.002    29.65
215   -6.860    1.588    0.43   2   1    -0.73     0.68    0.002    29.37
216   -6.899    1.544    0.43   2   1    -0.74     0.67    0.002    29.09
217   -6.937    1.501    0.43   2   1    -0.76     0.65    0.002    28.82
218   -6.974    1.457    0.44   2   1    -0.77     0.64    0.002    28.56
219   -7.010    1.413    0.44   2   1    -0.78     0.63    0.002    28.29
220   -7.045    1.369    0.44   2   1    -0.79     0.61    0.002    28.03
221   -7.079    1.325    0.44   2   1    -0.80     0.60    0.002    27.78
222   -7.112    1.280    0.45   2   1    -0.81     0.58    0.002    27.53
223   -7.144    1.235    0.45   2   1    -0.82     0.57    0.002    27.29
224   -7.174    1.190    0.45   2   1    -0.83     0.55    0.002    27.05
225   -7.203    1.145    0.45   2   1    -0.84     0.54    0.002    26.82
226   -7.232    1.100    0.45   2   1    -0.85     0.52    0.002    26.59
227   -7.259    1.054    0.46   2   1    -0.86     0.50    0.002    26.37
228   -7.285    1.009    0.46   2   1    -0.87     0.48    0.002    26.16
229   -7.309    0.963    0.46   2   1    -0.88     0.47    0.002    25.96
230   -7.333    0.917    0.46   2   1    -0.89     0.45    0.002    25.76
231   -7.356    0.871    0.46   2   1    -0.90     0.43    0.002    25.57
232   -7.377    0.824    0.47   2   1    -0.91     0.41    0.002    25.39
233   -7.397    0.778    0.47   2   1    -0.92     0.39    0.002    25.21
234   -7.416    0.732    0.47   2   1    -0.93     0.37    0.002    25.05
235   -7.434    0.685    0.47   2   1    -0.94     0.35    0.002    24.89
236   -7.450    0.638    0.47   2   1    -0.95     0.32    0.002    24.74
237   -7.466    0.591    0.47   2   1    -0.95     0.30    0.002    24.60
238   -7.480    0.544    0.48   2   1    -0.96     0.28    0.002    24.47
239   -7.493    0.497    0.48   2   1    -0.97     0.26    0.002    24.36
240   -7.505    0.450    0.48   2   1    -0.97     0.23    0.002    24.25
241   -7.516    0.403    0.48   2   1    -0.98     0.21    0.002    24.15
242   -7.525    0.356    0.48   2   1    -0.98     0.19    0.002    24.06
243   -7.534    0.308    0.49   2   1    -0.99     0.16    0.002    23.98
244   -7.541    0.261    0.49   2   1    -0.99     0.14    0.002    23.92
245   -7.547    0.214    0.49   2   1    -0.99     0.11    0.002    23.86
246   -7.552    0.166    0.49   2   1    -1.00     0.09    0.002    23.82
247   -7.555    0.119    0.49   2   1    -1.00     0.06    0.002    23.78
248   -7.558    0.071    0.50   2   1    -1.00     0.04    0.002    23.76
249   -7.559    0.024    0.50   2   1    -1.00     0.01    0.002    23.75
250   -7.559   -0.024    0.50   2   1    -1.00    -0.01    0.002    23.75
251   -7.558   -0.071    0.50   2   1    -1.00    -0.04    0.002    23.76
252   -7.555   -0.119    0.51   2   1    -1.00    -0.06    0.002    23.78
253   -7.552   -0.166    0.51   2   1    -1.00    -0.09    0.002    23.82
254   -7.547   -0.214    0.51   2   1    -0.99    -0.11    0.002    23.86
255   -7.541   -0.261    0.51   2   1    -0.99    -0.14    0.002    23.92
256   -7.534   -0.308    0.51   2   1    -0.99    -0.16    0.002    23.98
257   -7.525   -0.356    0.52   2   1    -0.98    -0.19    0.002    24.06
258   -7.516   -0.403    0.52   2   1    -0.98    -0.21    0.002    24.15
259   -7.505   -0.450    0.52   2   1    -0.97    -0.23    0.002    24.25
260   -7.493   -0.497    0.52   2   1    -0.97    -0.26    0.002    24.36
261   -7.480   -0.544    0.52   2   1    -0.96    -0.28    0.002    24.47
262   -7.466   -0.591    0.53   2   1    -0.95    -0.30    0.002    24.60
263   -7.450   -0.638    0.53   2   1    -0.95    -0.32    0.002    24.74
264   -7.434   -0.685    0.53   2   1    -0.94    -0.35    0.002    24.89
265   -7.416   -0.732    0.53   2   1    -0.93    -0.37    0.002    25.05
266   -7.397   -0.778    0.53   2   1    -0.92    -0.39    0.002    25.21
267   -7.377   -0.824    0.54   2   1    -0.91    -0.41    0.002    25.39
268   -7.356   -0.871    0.54   2   1    -0.90    -0.43    0.002    25.57
269   -7.333   -0.917    0.54   2   1    -0.89    -0.45    0.002    25.76
270   -7.309   -0.963    0.54   2   1    -0.88    -0.47    0.002    25.96
271   -7.285   -1.009    0.54   2   1    -0.87    -0.48    0.002    26.16
272   -7.259   -1.054    0.55   2   1    -0.86    -0.50    0.002    26.37
