# i       xs       ys     ths  m1  m2      nxs      nys     coef       ns
170   -5.113   10.330    0.34   2   1    -0.64     0.77    0.002    65.09
171   -5.212   10.245    0.34   2   1    -0.65     0.76    0.002    65.30
172   -5.311   10.159    0.34   2   1    -0.66     0.75    0.002    65.52
173   -5.409   10.072    0.35   2   1    -0.67     0.74    0.002    65.74
174   -5.506    9.983    0.35   2   1    -0.68     0.73    0.002    65.96
175   -5.602    9.892    0.35   2   1    -0.69     0.72    0.002    66.18
176   -5.697    9.799    0.35   2   1    -0.70     0.71    0.002    66.40
177   -5.791    9.706    0.35   2   1    -0.71     0.70    0.002    66.62
178   -5.884    9.610    0.36   2   1    -0.72     0.69    0.002    66.84
179   -5.977    9.513    0.36   2   1    -0.73     0.69    0.002    67.06
180   -6.068    9.415    0.36   2   1    -0.74     0.68    0.002    67.29
181   -6.159    9.315    0.36   2   1    -0.75     0.67    0.002    67.51
182   -6.248    9.214    0.36   2   1    -0.75     0.66    0.002    67.74
183   -6.337    9.111    0.37   2   1    -0.76     0.65    0.002    67.96
184   -6.425    9.007    0.37   2   1    -0.77     0.64    0.002    68.18
185   -6.511    8.901    0.37   2   1    -0.78     0.63    0.002    68.41
186   -6.597    8.794    0.37   2   1    -0.79     0.62    0.002    68.63
187   -6.681    8.686    0.38   2   1    -0.79     0.61    0.002    68.85
188   -6.765    8.576    0.38   2   1    -0.80     0.60    0.002    69.07
189   -6.847    8.465    0.38   2   1    -0.81     0.59    0.002    69.29
190   -6.928    8.352    0.38   2   1    -0.81     0.58    0.002    69.51
191   -7.008    8.238    0.38   2   1    -0.82     0.57    0.002    69.73
192   -7.088    8.123    0.39   2   1    -0.83     0.56    0.002    69.95
193   -7.165    8.007    0.39   2   1    -0.83     0.55    0.002    70.16
194   -7.242    7.889    0.39   2   1    -0.84     0.54    0.002    70.38
195   -7.318    7.770    0.39   2   1    -0.85     0.53    0.002    70.59
196   -7.393    7.650    0.39   2   1    -0.85     0.52    0.002    70.80
197   -7.466    7.528    0.40   2   1    -0.86     0.51    0.002    71.01
198   -7.538    7.406    0.40   2   1    -0.86     0.50    0.002    71.22
199   -7.609    7.282    0.40   2   1    -0.87     0.49    0.002    71.43
200   -7.679    7.157    0.40   2   1    -0.88     0.48    0.002    71.63
201   -7.747    7.031    0.40   2   1    -0.88     0.47    0.002    71.83
202   -7.815    6.904    0.41   2   1    -0.89     0.46    0.002    72.03
203   -7.881    6.776    0.41   2   1    -0.89     0.45    0.002    72.22
204   -7.946    6.647    0.41   2   1    -0.90     0.44    0.002    72.42
205   -8.009    6.516    0.41   2   1    -0.90     0.43    0.002    72.61
206   -8.072    6.385    0.41   2   1    -0.91     0.42    0.002    72.80
207   -8.133    6.253    0.41   2   1    -0.91     0.41    0.002    72.98
208   -8.193    6.119    0.42   2   1    -0.91     0.40    0.002    73.16
209   -8.251    5.985    0.42   2   1    -0.92     0.39    0.002    73.34
210   -8.308    5.850    0.42   2   1    -0.92     0.38    0.002    73.52
211   -8.364    5.714    0.42   2   1    -0.93     0.37    0.002    73.69
212   -8.419    5.576    0.42   2   1    -0.93     0.36    0.002    73.86
