# i       xs       ys     ths  m1  m2      nxs      nys     coef       ns
145   -0.963    3.655    0.29   2   1    -0.25     0.97    0.002    23.75
146   -1.009    3.642    0.29   2   1    -0.27     0.96    0.002    23.75
147   -1.054    3.629    0.29   2   1    -0.28     0.96    0.002    23.75
148   -1.100    3.616    0.30   2   1    -0.29     0.96    0.002    23.75
149   -1.145    3.602    0.30   2   1    -0.30     0.95    0.002    23.75
150   -1.190    3.587    0.30   2   1    -0.31     0.95    0.002    23.75
151   -1.235    3.572    0.30   2   1    -0.33     0.95    0.002    23.75
152   -1.280    3.556    0.30   2   1    -0.34     0.94    0.002    23.75
153   -1.325    3.540    0.31   2   1    -0.35     0.94    0.002    23.75
154   -1.369    3.523    0.31   2   1    -0.36     0.93    0.002    23.75
155   -1.413    3.505    0.31   2   1    -0.37     0.93    0.002    23.75
156   -1.457    3.487    0.31   2   1    -0.39     0.92    0.002    23.75
157   -1.501    3.469    0.32   2   1    -0.40     0.92    0.002    23.75
158   -1.544    3.449    0.32   2   1    -0.41     0.91    0.002    23.75
159   -1.588    3.430    0.32   2   1    -0.42     0.91    0.002    23.75
160   -1.631    3.410    0.32   2   1    -0.43     0.90    0.002    23.75
161   -1.673    3.389    0.32   2   1    -0.44     0.90    0.002    23.75
162   -1.716    3.368    0.33   2   1    -0.45     0.89    0.002    23.75
163   -1.758    3.346    0.33   2   1    -0.47     0.89    0.002    23.75
164   -1.800    3.323    0.33   2   1    -0.48     0.88    0.002    23.75
165   -1.842    3.300    0.33   2   1    -0.49     0.87    0.002    23.75
166   -1.883    3.277    0.33   2   1    -0.50     0.87    0.002    23.75
167   -1.924    3.253    0.34   2   1    -0.51     0.86    0.002    23.75
168   -1.965    3.229    0.34   2   1    -0.52     0.85    0.002    23.75
169   -2.005    3.204    0.34   2   1    -0.53     0.85    0.002    23.75
170   -2.045    3.178    0.34   2   1    -0.54     0.84    0.002    23.75
171   -2.085    3.152    0.34   2   1    -0.55     0.83    0.002    23.75
