# i       xs       ys     ths  m1  m2      nxs      nys     coef       ns
135   -1.740   13.113    0.27   2   1    -0.13     0.99    0.002    83.11
136   -1.905   13.090    0.27   2   1    -0.14     0.99    0.002    83.11
137   -2.069   13.065    0.28   2   1    -0.16     0.99    0.002    83.11
138   -2.233   13.038    0.28   2   1    -0.17     0.99    0.002    83.11
139   -2.397   13.009    0.28   2   1    -0.18     0.98    0.002    83.11
140   -2.560   12.978    0.28   2   1    -0.19     0.98    0.002    83.11
141   -2.723   12.945    0.28   2   1    -0.21     0.98    0.002    83.11
142   -2.886   12.910    0.28   2   1    -0.22     0.98    0.002    83.11
143   -3.048   12.872    0.29   2   1    -0.23     0.97    0.002    83.11
144   -3.209   12.833    0.29   2   1    -0.24     0.97    0.002    83.11
145   -3.370   12.792    0.29   2   1    -0.25     0.97    0.002    83.11
146   -3.531   12.748    0.29   2   1    -0.27     0.96    0.002    83.11
147   -3.691   12.703    0.29   2   1    -0.28     0.96    0.002    83.11
148   -3.850   12.655    0.30   2   1    -0.29     0.96    0.002    83.11
149   -4.009   12.606    0.30   2   1    -0.30     0.95    0.002    83.11
150   -4.167   12.555    0.30   2   1    -0.31     0.95    0.002    83.11
151   -4.324   12.501    0.30   2   1    -0.33     0.95    0.002    83.11
152   -4.481   12.446    0.30   2   1    -0.34     0.94    0.002    83.11
153   -4.637   12.389    0.31   2   1    -0.35     0.94    0.002    83.11
154   -4.792   12.330    0.31   2   1    -0.36     0.93    0.002    83.11
155   -4.947   12.268    0.31   2   1    -0.37     0.93    0.002    83.11
156   -5.101   12.205    0.31   2   1    -0.39     0.92    0.002    83.11
157   -5.254   12.140    0.32   2   1    -0.40     0.92    0.002    83.11
158   -5.406   12.073    0.32   2   1    -0.41     0.91    0.002    83.11
159   -5.557   12.004    0.32   2   1    -0.42     0.91    0.002    83.11
160   -5.707   11.934    0.32   2   1    -0.43     0.90    0.002    83.11
161   -5.857   11.861    0.32   2   1    -0.44     0.90    0.002    83.11
162   -6.005   11.786    0.33   2   1    -0.45     0.89    0.002    83.11
163   -6.153   11.710    0.33   2   1    -0.47     0.89    0.002    83.11
164   -6.300   11.632    0.33   2   1    -0.48     0.88    0.002    83.11
165   -6.445   11.552    0.33   2   1    -0.49     0.87    0.002    83.11
166   -6.590   11.470    0.33   2   1    -0.50     0.87    0.002    83.11
167   -6.734   11.386    0.34   2   1    -0.51     0.86    0.002    83.11
168   -6.876   11.300    0.34   2   1    -0.52     0.85    0.002    83.11
169   -7.018   11.213    0.34   2   1    -0.53     0.85    0.002    83.11
170   -7.158   11.124    0.34   2   1    -0.54     0.84    0.002    83.11
171   -7.297   11.033    0.34   2   1    -0.55     0.83    0.002    83.11
172   -7.435   10.941    0.34   2   1    -0.56     0.83    0.002    83.11
173   -7.572   10.846    0.35   2   1    -0.57     0.82    0.002    83.11
174   -7.708   10.750    0.35   2   1    -0.58     0.81    0.002    83.11
175   -7.842   10.653    0.35   2   1    -0.59     0.81    0.002    83.11
176   -7.976   10.553    0.35   2   1    -0.60     0.80    0.002    83.11
177   -8.108   10.452    0.35   2   1    -0.61     0.79    0.002    83.11
178   -8.238   10.350    0.36   2   1    -0.62     0.78    0.002    83.11
179   -8.368   10.245    0.36   2   1    -0.63     0.77    0.002    83.11
180   -8.496   10.139    0.36   2   1    -0.64     0.77    0.002    83.11
181   -8.623   10.032    0.36   2   1    -0.65     0.76    0.002    83.11
182   -8.748    9.923    0.36   2   1    -0.66     0.75    0.002    83.11
183   -8.872    9.812    0.37   2   1    -0.67     0.74    0.002    83.11
184   -8.994    9.700    0.37   2   1    -0.68     0.73    0.002    83.11
185   -9.116    9.586    0.37   2   1    -0.69     0.72    0.002    83.11
186   -9.235    9.470    0.37   2   1    -0.70     0.72    0.002    83.11
187   -9.354    9.354    0.38   2   1    -0.71     0.71    0.002    83.11
188   -9.470    9.235    0.38   2   1    -0.72     0.70    0.002    83.11
189   -9.586    9.116    0.38   2   1    -0.72     0.69    0.002    83.11
190   -9.700    8.994    0.38   2   1    -0.73     0.68    0.002    83.11
191   -9.812    8.872    0.38   2   1    -0.74     0.67    0.002    83.11
