# i       xs       ys     ths  m1  m2      nxs      nys     coef       ns
115 -118.253  110.492    2.31   2   1    -0.37     0.93    0.020    83.11
116 -119.756  109.785    2.33   2   1    -0.48     0.88    0.020    83.11
117 -121.159  108.895    2.35   2   1    -0.59     0.81    0.020    83.11
118 -122.439  107.836    2.37   2   1    -0.68     0.73    0.020    83.11
119 -123.576  106.625    2.39   2   1    -0.77     0.64    0.020    83.11
120 -124.552  105.281    2.41   2   1    -0.84     0.54    0.020    83.11
121 -125.353  103.825    2.43   2   1    -0.90     0.43    0.020    83.11
122 -125.964  102.281    2.45   2   1    -0.95     0.31    0.020    83.11
123 -126.377  100.672    2.47   2   1    -0.98     0.19    0.020    83.11
124 -126.586   99.024    2.49   2   1    -1.00     0.06    0.020    83.11
125 -126.586   97.362    2.51   2   1    -1.00    -0.06    0.020    83.11
126 -126.377   95.714    2.53   2   1    -0.98    -0.19    0.020    83.11
127 -125.964   94.105    2.55   2   1    -0.95    -0.31    0.020    83.11
128 -125.353   92.561    2.57   2   1    -0.90    -0.43    0.020    83.11
129 -124.552   91.105    2.59   2   1    -0.84    -0.54    0.020    83.11
130 -123.576   89.761    2.61   2   1    -0.77    -0.64    0.020    83.11
131 -122.439   88.550    2.63   2   1    -0.68    -0.73    0.020    83.11
132 -121.159   87.491    2.65   2   1    -0.59    -0.81    0.020    83.11
133 -119.756   86.601    2.67   2   1    -0.48    -0.88    0.020    83.11
134 -118.253   85.894    2.69   2   1    -0.37    -0.93    0.020    83.11
135 -116.673   85.381    2.71   2   1    -0.25    -0.97    0.020    83.11
136 -115.041   85.069    2.73   2   1    -0.13    -0.99    0.020    83.11
137 -113.384   84.965    2.75   2   1    -0.00    -1.00    0.020    83.11
138 -111.726   85.069    2.77   2   1     0.13    -0.99    0.020    83.11
139 -110.094   85.381    2.79   2   1     0.25    -0.97    0.020    83.11
140 -108.514   85.894    2.81   2   1     0.37    -0.93    0.020    83.11
141 -107.011   86.601    2.83   2   1     0.48    -0.88    0.020    83.11
142 -105.608   87.491    2.85   2   1     0.59    -0.81    0.020    83.11
143 -104.328   88.550    2.87   2   1     0.68    -0.73    0.020    83.11
144 -103.191   89.761    2.89   2   1     0.77    -0.64    0.020    83.11
145 -102.215   91.105    2.91   2   1     0.84    -0.54    0.020    83.11
146 -101.414   92.561    2.93   2   1     0.90    -0.43    0.020    83.11
147 -100.803   94.105    2.95   2   1     0.95    -0.31    0.020    83.11
148 -100.390   95.714    2.97   2   1     0.98    -0.19    0.020    83.11
149 -100.182   97.362    2.99   2   1     1.00    -0.06    0.020    83.11
150 -128.527  -48.266    3.01   2   1     1.00     0.06    0.020    83.11
151 -128.736  -46.618    3.03   2   1     0.98     0.19    0.020    83.11
152 -129.149  -45.009    3.05   2   1     0.95     0.31    0.020    83.11
153 -129.760  -43.464    3.07   2   1     0.90     0.43    0.020    83.11
154 -130.561  -42.009    3.09   2   1     0.84     0.54    0.020    83.11
155 -131.537  -40.665    3.11   2   1     0.77     0.64    0.020    83.11
156 -132.674  -39.454    3.13   2   1     0.68     0.73    0.020    83.11
157 -133.954  -38.395    3.15   2   1     0.59     0.81    0.020    83.11
158 -135.357  -37.505    3.17   2   1     0.48     0.88    0.020    83.11
159 -136.860  -36.797    3.19   2   1     0.37     0.93    0.020    83.11
160 -138.440  -36.284    3.21   2   1     0.25     0.97    0.020    83.11
161 -140.072  -35.973    3.23   2   1     0.13     0.99    0.020    83.11
162 -141.729  -35.868    3.25   2   1     0.00     1.00    0.020    83.11
163 -143.387  -35.973    3.27   2   1    -0.13     0.99    0.020    83.11
164 -145.019  -36.284    3.29   2   1    -0.25     0.97    0.020    83.11
165 -146.599  -36.797    3.31   2   1    -0.37     0.93    0.020    83.11
166 -148.102  -37.505    3.33   2   1    -0.48     0.88    0.020    83.11
167 -149.505  -38.395    3.35   2   1    -0.59     0.81    0.020    83.11
168 -150.785  -39.454    3.37   2   1    -0.68     0.73    0.020    83.11
169 -151.922  -40.665    3.39   2   1    -0.77     0.64    0.020    83.11
170 -152.898  -42.009    3.41   2   1    -0.84     0.54    0.020    83.11
171 -153.699  -43.464    3.43   2   1    -0.90     0.43    0.020    83.11
172 -154.310  -45.009    3.45   2   1    -0.95     0.31    0.020    83.11
173 -154.723  -46.618    3.47   2   1    -0.98     0.19    0.020    83.11
174 -154.931  -48.266    3.49   2   1    -1.00     0.06    0.020    83.11
175 -154.931  -49.927    3.51   2   1    -1.00    -0.06    0.020    83.11
176 -154.723  -51.575    3.53   2   1    -0.98    -0.19    0.020    83.11
177 -154.310  -53.184    3.55   2   1    -0.95    -0.31    0.020    83.11
178 -153.699  -54.729    3.57   2   1    -0.90    -0.43    0.020    83.11
179 -152.898  -56.184    3.59   2   1    -0.84    -0.54    0.020    83.11
180 -151.922  -57.528    3.61   2   1    -0.77    -0.64    0.020    83.11
181 -150.785  -58.739    3.63   2   1    -0.68    -0.73    0.020    83.11
182 -149.505  -59.798    3.65   2   1    -0.59    -0.81    0.020    83.11
183 -148.102  -60.688    3.67   2   1    -0.48    -0.88    0.020    83.11
184 -146.599  -61.396    3.69   2   1    -0.37    -0.93    0.020    83.11
185 -145.019  -61.909    3.71   2   1    -0.25    -0.97    0.020    83.11
186 -143.387  -62.220    3.73   2   1    -0.13    -0.99    0.020    83.11
187 -141.729  -62.325    3.75   2   1    -0.00    -1.00    0.020    83.11
188 -140.072  -62.220    3.77   2   1     0.13    -0.99    0.020    83.11
189 -138.440  -61.909    3.79   2   1     0.25    -0.97    0.020    83.11
190 -136.860  -61.396    3.81   2   1     0.37    -0.93    0.020    83.11
191 -135.357  -60.688    3.83   2   1     0.48    -0.88    0.020    83.11
192 -133.954  -59.798    3.85   2   1     0.59    -0.81    0.020    83.11
193 -132.674  -58.739    3.87   2   1     0.68    -0.73    0.020    83.11
194 -131.537  -57.528    3.89   2   1     0.77    -0.64    0.020    83.11
195 -130.561  -56.184    3.91   2   1     0.84    -0.54    0.020    83.11
196 -129.760  -54.729    3.93   2   1     0.90    -0.43    0.020    83.11
197 -129.149  -53.184    3.95   2   1     0.95    -0.31    0.020    83.11
198 -128.736  -51.575    3.97   2   1     0.98    -0.19    0.020    83.11
199 -128.527  -49.927    3.99   2   1     1.00    -0.06    0.020    83.11
200 -100.182    0.831    4.01   2   1     1.00     0.06    0.020    83.11
201 -100.390    2.479    4.03   2   1     0.98     0.19    0.020    83.11
202 -100.803    4.088    4.05   2   1     0.95     0.31    0.020    83.11
203 -101.414    5.632    4.07   2   1     0.90     0.43    0.020    83.11
204 -102.215    7.088    4.09   2   1     0.84     0.54    0.020    83.11
205 -103.191    8.432    4.11   2   1     0.77     0.64    0.020    83.11
206 -104.328    9.643    4.13   2   1     0.68     0.73    0.020    83.11
207 -105.608   10.702    4.15   2   1     0.59     0.81    0.020    83.11
208 -107.011   11.592    4.17   2   1     0.48     0.88    0.020    83.11
209 -108.514   12.299    4.19   2   1     0.37     0.93    0.020    83.11
210 -110.094   12.812    4.21   2   1     0.25     0.97    0.020    83.11
211 -111.726   13.124    4.23   2   1     0.13     0.99    0.020    83.11
212 -113.384   13.228    4.25   2   1     0.00     1.00    0.020    83.11
213 -115.041   13.124    4.27   2   1    -0.13     0.99    0.020    83.11
214 -116.673   12.812    4.29   2   1    -0.25     0.97    0.020    83.11
215 -118.253   12.299    4.31   2   1    -0.37     0.93    0.020    83.11
216 -119.756   11.592    4.33   2   1    -0.48     0.88    0.020    83.11
217 -121.159   10.702    4.35   2   1    -0.59     0.81    0.020    83.11
218 -122.439    9.643    4.37   2   1    -0.68     0.73    0.020    83.11
219 -123.576    8.432    4.39   2   1    -0.77     0.64    0.020    83.11
220 -124.552    7.088    4.41   2   1    -0.84     0.54    0.020    83.11
221 -125.353    5.632    4.43   2   1    -0.90     0.43    0.020    83.11
222 -125.964    4.088    4.45   2   1    -0.95     0.31    0.020    83.11
223 -126.377    2.479    4.47   2   1    -0.98     0.19    0.020    83.11
224 -126.586    0.831    4.49   2   1    -1.00     0.06    0.020    83.11
